,institution,uoa,case_count,4*,3*,2*,1*,staff,intensity
395,liverpool hope university,"music, drama, dance and performing arts",4,0,10,70,20,9.0,21.11111111111111
396,liverpool hope university,history,2,0,50,50,0,10.6,23.58490566037736
397,liverpool hope university,politics and international studies,2,0,0,70,30,7.0,24.285714285714285
398,liverpool hope university,"geography, environmental studies and archaeology",2,0,0,0,80,4.2,19.047619047619047
399,liverpool hope university,education,2,40,0,30,30,12.2,20.491803278688526
400,liverpool hope university,theology and religious studies,2,0,70,30,0,14.9,18.120805369127517
401,liverpool hope university,"psychology, psychiatry and neuroscience",2,0,0,100,0,10.8,18.51851851851852
402,liverpool hope university,"sport and exercise sciences, leisure and tourism",2,0,0,30,70,8.6,15.116279069767442
403,liverpool hope university,computer science and informatics,2,0,0,50,50,7.0,21.428571428571427
404,liverpool hope university,social work and social policy,2,0,0,10,90,6.2,17.741935483870968
405,liverpool hope university,english language and literature,2,0,0,40,60,14.2,9.859154929577466
406,liverpool john moores university,"sport and exercise sciences, leisure and tourism",4,90,10,0,0,34.75,11.223021582733812
407,liverpool john moores university,"allied health professions, dentistry, nursing and pharmacy",4,10,60,30,0,34.5,8.115942028985508
408,liverpool john moores university,physics,3,40,46.7,13.3,0,22.71,14.385733157199473
409,liverpool john moores university,"architecture, built environment and planning",3,0,73.3,26.7,0,17.2,15.889534883720929
410,liverpool john moores university,history,2,0,60,40,0,7.0,37.142857142857146
411,liverpool john moores university,anthropology and development studies,2,40,20,0,0,13.2,16.666666666666668
412,liverpool john moores university,"communication, cultural and media studies, library and information management",2,20,70,10,0,13.0,23.846153846153847
413,liverpool john moores university,law,2,0,100,0,0,7.0,42.857142857142854
414,liverpool john moores university,"electrical and electronic engineering, metallurgy and materials",2,0,30,70,0,7.0,32.857142857142854
415,liverpool john moores university,"art and design: history, practice and theory",2,0,70,30,0,8.6,31.395348837209305
416,liverpool john moores university,education,2,0,40,60,0,12.8,18.75
417,liverpool john moores university,general engineering,2,0,30,30,40,11.0,17.272727272727273
418,liverpool john moores university,social work and social policy,2,20,80,0,0,8.0,40.0
419,liverpool john moores university,english language and literature,2,50,30,20,0,13.4,24.62686567164179
420,liverpool john moores university,"aeronautical, mechanical, chemical and manufacturing engineering",1,0,30,70,0,13.0,17.692307692307693
421,london business school,business and management studies,11,46.4,31.8,10.9,3.6,98.83,3.1002731963978554
422,london metropolitan university,education,2,40,60,0,0,3.8,89.47368421052632
423,london metropolitan university,"communication, cultural and media studies, library and information management",2,20,30,10,0,7.3,26.027397260273972
424,london metropolitan university,area studies,2,70,30,0,0,8.5,43.529411764705884
425,london metropolitan university,social work and social policy,2,40,60,0,0,9.7,35.05154639175258
426,london metropolitan university,business and management studies,2,10,30,60,0,4.0,62.5
427,london metropolitan university,"architecture, built environment and planning",2,0,40,20,40,12.0,16.666666666666668
428,london metropolitan university sir john cass faculty of art architecture and design,"art and design: history, practice and theory",2,,,,,,
429,london school of economics and political science,business and management studies,8,64.4,35.6,0,0,80.77,4.511576080227808
430,london school of economics and political science,law,7,77.1,11.5,11.4,0,62.87,5.816764752664228
431,london school of economics and political science,politics and international studies,7,61.4,38.6,0,0,62.25,5.805622489959839
432,london school of economics and political science,anthropology and development studies,6,26.7,0,46.6,26.7,19.05,11.9002624671916
433,london school of economics and political science,anthropology and development studies,6,66.7,33.3,0,0,22.5,16.297777777777778
434,london school of economics and political science,social work and social policy,6,100,0,0,0,47.2,8.47457627118644
435,london school of economics and political science,economics and econometrics,6,86.7,13.3,0,0,51.4,7.523346303501946
436,london school of economics and political science,history,5,34,50,16,0,44.0,7.2272727272727275
437,london school of economics and political science,"geography, environmental studies and archaeology",5,40,36,8,16,36.2,8.287292817679557
438,london school of economics and political science,mathematical sciences,4,0,70,30,0,31.04,8.698453608247423
439,london school of economics and political science,area studies,3,100,0,0,0,19.65,20.356234096692113
440,london school of economics and political science,philosophy,3,36.7,63.3,0,0,16.5,20.406060606060606
441,london school of economics and political science,sociology,3,36.7,50,13.3,0,24.75,13.066666666666668
442,london school of economics and political science,"communication, cultural and media studies, library and information management",2,100,0,0,0,14.0,28.571428571428573
443,london school of hygiene tropical medicine,"public health, health services and primary care",27,,,,,,
444,london school of hygiene tropical medicine,clinical medicine,7,,,,,,
445,london south bank university,general engineering,4,10,70,20,0,33.5,8.656716417910447
446,london south bank university,"psychology, psychiatry and neuroscience",2,0,60,40,0,9.8,26.530612244897956
447,london south bank university,"communication, cultural and media studies, library and information management",2,0,80,20,0,10.2,27.450980392156865
448,london south bank university,business and management studies,2,0,60,40,0,9.25,28.10810810810811
449,london south bank university,"allied health professions, dentistry, nursing and pharmacy",2,20,60,20,0,14.6,20.547945205479454
450,london south bank university,"sport and exercise sciences, leisure and tourism",2,40,50,10,0,9.4,35.1063829787234
451,london south bank university,social work and social policy,2,0,50,50,0,14.9,16.778523489932887
452,loughborough,business and management studies,1,,,,,,
453,loughborough university,"aeronautical, mechanical, chemical and manufacturing engineering",11,48.6,40,11.4,0,127.4,2.6467817896389323
454,loughborough university,"sport and exercise sciences, leisure and tourism",7,75,25,0,0,68.1,5.506607929515419
455,loughborough university,"communication, cultural and media studies, library and information management",7,60,40,0,0,16.8,21.428571428571427
456,loughborough university,"communication, cultural and media studies, library and information management",7,50,40,10,0,30.7,11.074918566775244
457,loughborough university,business and management studies,6,27.1,50,22.9,0,60.5,5.028099173553719
458,loughborough university,"electrical and electronic engineering, metallurgy and materials",5,10,58,24,8,37.6,7.180851063829787
459,loughborough university,mathematical sciences,4,0,60,30,10,33.8,7.396449704142013
460,loughborough university,civil and construction engineering,4,20,70,10,0,31.9,9.717868338557993
461,loughborough university,"geography, environmental studies and archaeology",4,10,30,60,0,30.2,8.27814569536424
462,loughborough university,"art and design: history, practice and theory",3,66.7,26.6,6.7,0,54.73,6.577745295084963
463,loughborough university,english language and literature,3,10,63.3,13.4,13.3,20.5,13.170731707317072
464,loughborough university,area studies,3,0,53.3,46.7,0,23.5,10.778723404255318
465,loughborough university,"architecture, built environment and planning",3,60,40,0,0,32.2,11.180124223602483
466,loughborough university,computer science and informatics,2,13.3,60,26.7,0,17.2,16.662790697674417
467,loughborough university,chemistry,2,26.7,46.6,26.7,0,22.65,13.245033112582782
468,loughborough university,education,2,30,70,0,0,7.7,42.857142857142854
469,loughborough university,physics,2,0,26.7,73.3,0,19.7,11.50761421319797
470,loughborough university,social work and social policy,2,90,10,0,0,10.46,37.284894837476095
471,manchester metropolitan university,"allied health professions, dentistry, nursing and pharmacy",7,45.7,54.3,0,0,61.4,5.630293159609121
472,manchester metropolitan university,"art and design: history, practice and theory",6,26.7,60,0,13.3,54.65,5.491308325709058
473,manchester metropolitan university,business and management studies,4,40,30,20,10,25.9,11.583011583011583
474,manchester metropolitan university,education,3,36.7,63.3,0,0,22.5,14.964444444444444
475,manchester metropolitan university,earth systems and environmental sciences,3,0,60,40,0,24.0,10.833333333333334
476,manchester metropolitan university,sociology,3,40,60,0,0,21.25,16.0
477,manchester metropolitan university,general engineering,3,0,86.7,13.3,0,21.3,13.460093896713616
478,manchester metropolitan university,english language and literature,3,63.3,36.7,0,0,22.95,15.830065359477125
479,manchester metropolitan university,history,2,40,60,0,0,14.2,23.943661971830988
480,manchester metropolitan university,"music, drama, dance and performing arts",2,0,60,40,0,10.6,24.528301886792455
481,manchester metropolitan university,computer science and informatics,2,20,40,0,0,11.5,17.391304347826086
482,manchester metropolitan university,social work and social policy,2,0,50,50,0,14.45,17.301038062283737
483,manchester metropolitan university,philosophy,2,0,50,50,0,8.0,31.25
484,middlesex,social work and social policy,2,,,,,,
485,middlesex university,computer science and informatics,6,0,23.3,30,33.4,53.1,3.075329566854991
486,middlesex university,business and management studies,5,18,74,8,0,39.95,7.759699624530663
487,middlesex university,"communication, cultural and media studies, library and information management",3,0,76.7,23.3,0,19.6,14.117346938775512
488,middlesex university,law,3,26.7,63.3,10,0,20.0,15.834999999999999
489,middlesex university,"music, drama, dance and performing arts",3,36.7,36.6,0,26.7,21.39,13.244506778868631
490,middlesex university,social work and social policy,3,40,26.7,20,0,51.4,5.4494163424124515
491,middlesex university,"art and design: history, practice and theory",3,26.7,73.3,0,0,23.59,13.849088596863076
492,middlesex university,"psychology, psychiatry and neuroscience",2,0,100,0,0,13.1,22.900763358778626
493,middlesex university,"geography, environmental studies and archaeology",2,40,60,0,0,14.92,22.78820375335121
494,middlesex university,"allied health professions, dentistry, nursing and pharmacy",2,20,50,30,0,14.8,19.594594594594593
495,newcastle universit,biological sciences,1,,,,,,
496,newcastle university,clinical medicine,16,75,25,0,0,147.13,2.548766397063821
497,newcastle university,business and management studies,7,27.1,27.2,40,5.7,60.2,4.579734219269103
498,newcastle university,"psychology, psychiatry and neuroscience",6,86.7,13.3,0,0,51.58,7.497091896083755
499,newcastle university,"geography, environmental studies and archaeology",6,0,60,40,0,8.7,29.88505747126437
500,newcastle university,"geography, environmental studies and archaeology",6,70,20,10,0,27.2,13.23529411764706
501,newcastle university,modern languages and linguistics,6,60,33.3,6.7,0,49.97,7.070242145287172
502,newcastle university,civil and construction engineering,5,42,58,0,0,40.6,8.423645320197044
503,newcastle university,"architecture, built environment and planning",5,42,58,0,0,41.8,8.181818181818182
504,newcastle university,english language and literature,4,100,0,0,0,32.1,12.461059190031152
505,newcastle university,"public health, health services and primary care",4,40,60,0,0,27.22,12.49081557678178
506,newcastle university,"aeronautical, mechanical, chemical and manufacturing engineering",4,16,76,8,0,43.45,7.0886075949367084
507,newcastle university,"electrical and electronic engineering, metallurgy and materials",4,40,30,10,0,31.2,8.653846153846153
508,newcastle university,computer science and informatics,4,90,10,0,0,27.5,14.181818181818182
509,newcastle university,"agriculture, veterinary and food science",4,30,40,30,0,25.4,11.811023622047244
510,newcastle university,biological sciences,3,50,50,0,0,30.6,11.437908496732026
511,newcastle university,law,3,0,76.7,23.3,0,21.0,13.17619047619048
512,newcastle university,politics and international studies,3,0,63.3,36.7,0,20.6,12.78155339805825
513,newcastle university,history,3,0,46.7,53.3,0,23.9,10.322175732217575
514,newcastle university,education,3,26.7,73.3,0,0,16.7,19.562874251497007
515,newcastle university,sociology,3,53.3,33.4,13.3,0,18.5,18.37837837837838
516,newcastle university,"allied health professions, dentistry, nursing and pharmacy",3,73.3,26.7,0,0,19.0,19.64736842105263
517,newcastle university,earth systems and environmental sciences,3,73.3,26.7,0,0,24.6,15.174796747967477
518,newcastle university,"art and design: history, practice and theory",3,13.3,73.4,13.3,0,16.25,18.461538461538463
519,newcastle university,chemistry,3,26.7,73.3,0,0,24.2,13.5
520,newcastle university,mathematical sciences,3,53.3,36.7,10,0,20.4,16.828431372549023
521,newcastle university,"music, drama, dance and performing arts",2,20,20,60,0,13.6,19.11764705882353
522,newcastle university,"communication, cultural and media studies, library and information management",2,50,30,20,0,14.35,22.99651567944251
523,newcastle university,classics,2,40,30,30,0,10.2,30.3921568627451
524,newman university,"sport and exercise sciences, leisure and tourism",2,0,20,40,40,4.0,45.0
525,newman university,history,2,-,-,-,-,2.4,0.0
526,newman university,theology and religious studies,2,-,-,-,-,2.0,0.0
527,newman university,education,2,0,0,90,10,7.4,25.675675675675674
528,newman university,english language and literature,2,0,0,40,60,4.5,31.11111111111111
529,newman university,"psychology, psychiatry and neuroscience",2,-,-,-,-,3.0,0.0
530,norwich university of arts,"art and design: history, practice and theory",2,,,,,,
531,nottingham trent university,business and management studies,3,13.3,86.7,0,0,23.0,13.621739130434783
532,nottingham trent university,education,3,0,0,33.3,66.7,20.9,6.3779904306220105
533,nottingham trent university,"psychology, psychiatry and neuroscience",3,73.3,26.7,0,0,21.8,17.123853211009173
534,nottingham trent university,"art and design: history, practice and theory",3,13.3,46.7,13.3,0,20.9,10.52153110047847
535,nottingham trent university,english language and literature,3,26.7,60,13.3,0,20.0,15.670000000000002
536,nottingham trent university,history,2,20,60,20,0,8.25,36.36363636363637
537,nottingham trent university,"communication, cultural and media studies, library and information management",2,20,50,30,0,11.7,24.786324786324787
538,nottingham trent university,modern languages and linguistics,2,30,50,20,0,8.59,36.08847497089639
539,nottingham trent university,"sport and exercise sciences, leisure and tourism",2,0,0,100,0,12.81,15.6128024980484
540,nottingham trent university,computer science and informatics,2,30,50,20,0,14.25,21.75438596491228
541,nottingham trent university,"architecture, built environment and planning",2,0,40,60,0,11.2,21.42857142857143
542,nottingham trent university,"geography, environmental studies and archaeology",2,0,40,60,0,11.81,20.32176121930567
543,nottingham trent university,"allied health professions, dentistry, nursing and pharmacy",2,53.3,46.7,0,0,23.8,14.844537815126051
544,nottingham trent university,social work and social policy,2,30,30,40,0,9.52,30.46218487394958
545,nottingham trent university,law,2,0,20,80,0,13.0,16.923076923076923
546,nottingham trent university,general engineering,2,40,10,50,0,14.4,20.13888888888889
547,nottingham trent university school of science and technology,"allied health professions, dentistry, nursing and pharmacy",1,,,,,,
548,open university,earth systems and environmental sciences,6,5.7,71.4,22.9,0,58.01,4.875021548008965
549,open university,education,6,60,20,20,0,54.26,6.266126059712495
550,open university,sociology,5,60,24,16,0,37.0,9.297297297297296
551,open university,computer science and informatics,4,0,50,50,0,31.1,8.038585209003216
552,open university,"art and design: history, practice and theory",3,26.7,60,13.3,0,23.2,13.508620689655174
553,open university,english language and literature,3,46.7,53.3,0,0,16.5,21.01212121212121
554,open university,"allied health professions, dentistry, nursing and pharmacy",3,10,90,0,0,17.0,18.235294117647058
555,open university,anthropology and development studies,3,23.3,76.7,0,0,22.1,14.628959276018099
556,open university,mathematical sciences,3,0,26.7,46.6,0,18.8,9.21808510638298
557,open university,business and management studies,3,50,50,0,0,17.9,19.553072625698327
558,open university,social work and social policy,3,26.7,46.6,26.7,0,18.6,16.129032258064516
559,open university,"electrical and electronic engineering, metallurgy and materials",3,0,86.7,13.3,0,18.0,15.92777777777778
560,open university,"geography, environmental studies and archaeology",2,20,80,0,0,13.0,24.615384615384617
561,open university,philosophy,2,10,10,80,0,8.0,28.75
562,open university,theology and religious studies,2,0,30,70,0,6.0,38.333333333333336
563,open university,classics,2,40,40,20,0,11.8,27.11864406779661
564,open university,"music, drama, dance and performing arts",2,60,40,0,0,10.6,33.9622641509434
565,open university,history,2,50,50,0,0,14.3,24.475524475524473
566,open university uk,earth systems and environmental sciences,1,,,,,,
567,oxford brookes university,history,4,10,80,10,0,28.75,10.434782608695652
568,oxford brookes university,general engineering,4,0,50,40,10,25.9,9.266409266409267
569,oxford brookes university,"architecture, built environment and planning",4,40,60,0,0,32.19,10.56228642435539
570,oxford brookes university,biological sciences,4,30,50,0,20,25.6,11.328125
571,oxford brookes university,business and management studies,3,26.7,73.3,0,0,23.5,13.902127659574468
572,oxford brookes university,education,2,0,0,60,40,10.5,15.238095238095237
573,oxford brookes university,"allied health professions, dentistry, nursing and pharmacy",2,40,50,10,0,10.2,32.35294117647059
574,oxford brookes university,philosophy,2,0,0,80,20,6.3,28.571428571428573
575,oxford brookes university,politics and international studies,2,40,10,30,20,14.6,18.493150684931507
576,oxford brookes university,"art and design: history, practice and theory",2,0,40,20,40,7.9,25.31645569620253
577,oxford brookes university,"communication, cultural and media studies, library and information management",2,0,0,40,60,7.3,19.178082191780824
578,oxford brookes university,computer science and informatics,2,40,0,20,0,13.0,15.384615384615385
579,oxford brookes university,"music, drama, dance and performing arts",2,60,0,40,0,11.65,27.467811158798284
580,oxford brookes university,"psychology, psychiatry and neuroscience",2,0,60,40,0,14.7,17.687074829931973
581,oxford brookes university,law,2,0,20,80,0,9.0,24.444444444444443
582,oxford brookes university,"geography, environmental studies and archaeology",2,0,20,80,0,13.7,16.058394160583944
583,oxford brookes university,english language and literature,2,0,100,0,0,14.7,20.408163265306122
584,oxford university,politics and international studies,2,,,,,,
585,phyesta,physics,11,,,,,,
586,plymouth university,earth systems and environmental sciences,5,,,,,,
587,plymouth university,"allied health professions, dentistry, nursing and pharmacy",4,,,,,,
588,plymouth university,business and management studies,4,,,,,,
589,plymouth university,"geography, environmental studies and archaeology",4,,,,,,
590,plymouth university,general engineering,3,,,,,,
591,plymouth university,social work and social policy,3,,,,,,
592,plymouth university,education,3,,,,,,
593,plymouth university,history,2,,,,,,
594,plymouth university,english language and literature,2,,,,,,
595,plymouth university,"architecture, built environment and planning",2,,,,,,
596,plymouth university,mathematical sciences,2,,,,,,
597,plymouth university,"art and design: history, practice and theory",2,,,,,,
598,plymouth university,"electrical and electronic engineering, metallurgy and materials",2,,,,,,
599,plymouth university,"music, drama, dance and performing arts",2,,,,,,
600,plymouth university,clinical medicine,2,,,,,,
601,plymouth university,computer science and informatics,1,,,,,,
602,plymouth university,"psychology, psychiatry and neuroscience",1,,,,,,
603,polis university of leed,politics and international studies,1,,,,,,
604,queen margaret university,"psychology, psychiatry and neuroscience",2,,,,,,
605,queen margaret university,"communication, cultural and media studies, library and information management",2,,,,,,
606,queen margaret university,anthropology and development studies,2,,,,,,
607,queen margaret university,modern languages and linguistics,2,,,,,,
608,queen margaret university,"allied health professions, dentistry, nursing and pharmacy",2,,,,,,
609,queen mary university of london,clinical medicine,15,76.7,12.6,5.4,0,144.11,2.466171674415377
610,queen mary university of london,modern languages and linguistics,6,60,40,0,0,7.55,47.682119205298015
611,queen mary university of london,modern languages and linguistics,6,30,50,20,0,31.4,9.872611464968154
612,queen mary university of london,history,5,58,34,8,0,38.0,9.210526315789474
613,queen mary university of london,law,5,16,84,0,0,35.02,9.023415191319245
614,queen mary university of london,english language and literature,5,68,24,8,0,41.13,8.752735229759299
615,queen mary university of london,"allied health professions, dentistry, nursing and pharmacy",4,50,50,0,0,32.2,10.869565217391303
616,queen mary university of london,"geography, environmental studies and archaeology",4,30,50,10,10,31.35,9.569377990430622
617,queen mary university of london,business and management studies,4,50,40,10,0,33.0,10.303030303030303
618,queen mary university of london,"electrical and electronic engineering, metallurgy and materials",4,10,90,0,0,19.0,16.31578947368421
619,queen mary university of london,"electrical and electronic engineering, metallurgy and materials",4,36.7,36.6,26.7,0,24.2,12.809917355371901
620,queen mary university of london,physics,3,0,90,10,0,24.0,12.083333333333334
621,queen mary university of london,"music, drama, dance and performing arts",3,100,0,0,0,16.0,25.0
622,queen mary university of london,biological sciences,3,40,40,10,10,23.39,13.253527148353998
623,queen mary university of london,economics and econometrics,3,13.3,86.7,0,0,24.45,12.813905930470348
624,queen mary university of london,general engineering,3,63.3,23.4,13.3,0,24.6,14.227642276422763
625,queen mary university of london,"public health, health services and primary care",3,76.7,23.3,0,0,20.61,18.2775351770985
626,queen mary university of london,mathematical sciences,3,10,70,20,0,34.8,8.333333333333334
627,queen mary university of london,politics and international studies,2,13.3,60,26.7,0,21.5,13.330232558139533
628,queen mary university of london,chemistry,2,0,100,0,0,14.0,21.428571428571427
629,queen mary university of london,computer science and informatics,1,50,50,0,0,30.5,11.475409836065573
630,queen s university belfast,clinical medicine,8,,,,,,
631,queen s university belfast,"allied health professions, dentistry, nursing and pharmacy",7,,,,,,
632,queen s university belfast,business and management studies,6,,,,,,
633,queen s university belfast,"aeronautical, mechanical, chemical and manufacturing engineering",6,,,,,,
634,queen s university belfast,english language and literature,5,,,,,,
635,queen s university belfast,physics,5,,,,,,
636,queen s university belfast,"agriculture, veterinary and food science",4,,,,,,
637,queen s university belfast,chemistry,4,,,,,,
638,queen s university belfast,"public health, health services and primary care",4,,,,,,
639,queen s university belfast,"geography, environmental studies and archaeology",4,,,,,,
640,queen s university belfast,"architecture, built environment and planning",4,,,,,,
641,queen s university belfast,"electrical and electronic engineering, metallurgy and materials",4,,,,,,
642,queen s university belfast,civil and construction engineering,4,,,,,,
643,queen s university belfast,social work and social policy,4,,,,,,
644,queen s university belfast,law,4,,,,,,
645,queen s university belfast,"music, drama, dance and performing arts",3,,,,,,
646,queen s university belfast,history,3,,,,,,
647,queen s university belfast,education,3,,,,,,
648,queen s university belfast,modern languages and linguistics,3,,,,,,
649,queen s university belfast,earth systems and environmental sciences,3,,,,,,
650,queen s university belfast,"psychology, psychiatry and neuroscience",3,,,,,,
651,queen s university belfast,sociology,3,,,,,,
652,queen s university belfast,computer science and informatics,2,,,,,,
653,queen s university belfast,philosophy,2,,,,,,
654,queen s university belfast,anthropology and development studies,2,,,,,,
655,queen s university belfast,politics and international studies,2,,,,,,
656,queen s university of belfast,"music, drama, dance and performing arts",1,,,,,,
657,robert gordon university,computer science and informatics,3,0,23.3,23.4,53.3,18.75,9.066666666666666
658,robert gordon university,general engineering,2,0,70,30,0,14.0,19.285714285714285
659,robert gordon university,"communication, cultural and media studies, library and information management",2,20,60,20,0,10.7,28.037383177570096
660,robert gordon university,business and management studies,2,50,10,40,0,6.9,44.927536231884055
661,robert gordon university,politics and international studies,2,0,20,80,0,5.2,42.30769230769231
662,robert gordon university,law,2,0,20,80,0,9.0,24.444444444444443
663,robert gordon university,"art and design: history, practice and theory",2,20,70,10,0,9.0,34.44444444444444
664,robert gordon university,"architecture, built environment and planning",2,0,0,50,50,14.6,10.273972602739727
665,robert gordon university and university of highlands islands,"allied health professions, dentistry, nursing and pharmacy",2,,,,,,
666,robert gordon university university of highlands islands,"allied health professions, dentistry, nursing and pharmacy",1,,,,,,
667,rose bruford college of atre and performance,"music, drama, dance and performing arts",2,,,,,,
668,royal academy of music,"music, drama, dance and performing arts",2,30,30,40,0,13.9,20.863309352517984
669,royal agricultural university,"agriculture, veterinary and food science",2,0,0,20,40,12.0,6.666666666666667
670,royal central school of speech and drama university of london,"music, drama, dance and performing arts",3,,,,,,
671,royal college of music,"music, drama, dance and performing arts",2,90,10,0,0,14.4,27.083333333333332
672,royal conservatoire of scotland,"music, drama, dance and performing arts",2,60,40,0,0,14.78,24.357239512855212
673,royal holloway royal holloway,earth systems and environmental sciences,1,,,,,,
674,royal holloway university of english,english language and literature,1,,,,,,
675,royal holloway university of london,"music, drama, dance and performing arts",6,,,,,,
676,royal holloway university of london,business and management studies,5,,,,,,
677,royal holloway university of london,history,4,,,,,,
678,royal holloway university of london,physics,3,,,,,,
679,royal holloway university of london,modern languages and linguistics,3,,,,,,
680,royal holloway university of london,"psychology, psychiatry and neuroscience",3,,,,,,
681,royal holloway university of london,biological sciences,3,,,,,,
682,royal holloway university of london,computer science and informatics,3,,,,,,
683,royal holloway university of london,"geography, environmental studies and archaeology",3,,,,,,
684,royal holloway university of london,politics and international studies,3,,,,,,
685,royal holloway university of london,english language and literature,3,,,,,,
686,royal holloway university of london,"communication, cultural and media studies, library and information management",2,,,,,,
687,royal holloway university of london,classics,2,,,,,,
688,royal holloway university of london,earth systems and environmental sciences,2,,,,,,
689,royal holloway university of london,economics and econometrics,2,,,,,,
690,royal holloway university of london,mathematical sciences,2,,,,,,
691,royal veterinary college,"agriculture, veterinary and food science",11,63.6,21.9,10.9,3.6,103.49,3.3384868103198384
692,school of natural sciences psychology,"psychology, psychiatry and neuroscience",2,,,,,,
693,sheffield hallam university,"sport and exercise sciences, leisure and tourism",4,30,40,30,0,32.0,9.375
694,sheffield hallam university,"electrical and electronic engineering, metallurgy and materials",4,0,60,40,0,31.2,8.333333333333334
695,sheffield hallam university,history,3,13.3,50,36.7,0,15.0,18.44
696,sheffield hallam university,"communication, cultural and media studies, library and information management",3,26.7,63.3,10,0,24.8,12.77016129032258
697,sheffield hallam university,"allied health professions, dentistry, nursing and pharmacy",3,0,86.7,13.3,0,22.75,12.602197802197804
698,sheffield hallam university,biological sciences,3,0,46.7,53.3,0,16.2,15.228395061728397
699,sheffield hallam university,"art and design: history, practice and theory",3,73.3,26.7,0,0,24.46,15.261651676206048
700,sheffield hallam university,"architecture, built environment and planning",3,53.3,46.7,0,0,19.2,18.401041666666668
701,sheffield hallam university,english language and literature,3,13.3,36.7,36.7,13.3,21.39,11.687704534829361
702,sheffield hallam university,business and management studies,2,20,30,50,0,6.8,39.705882352941174
703,sheffield hallam university,education,2,0,50,10,40,12.4,16.93548387096774
704,soas,anthropology and development studies,8,,,,,,
705,soas,area studies,6,,,,,,
706,soas,history,3,,,,,,
707,soas,law,3,,,,,,
708,soas,business and management studies,3,,,,,,
709,soas,politics and international studies,2,,,,,,
710,soas,modern languages and linguistics,2,,,,,,
711,soas,"music, drama, dance and performing arts",2,,,,,,
712,soas,"art and design: history, practice and theory",2,,,,,,
713,soas,theology and religious studies,2,,,,,,
714,southampton solent university,"art and design: history, practice and theory",3,0,0,36.7,50,15.85,7.785488958990537
715,southampton solent university,"sport and exercise sciences, leisure and tourism",2,0,0,20,80,6.0,20.0
716,southampton solent university,"communication, cultural and media studies, library and information management",2,0,0,50,10,5.2,21.153846153846153
717,southampton solent university,general engineering,2,0,0,0,20,8.5,2.3529411764705883
718,st george s university of london,clinical medicine,5,,,,,,
719,st george s university of london,"public health, health services and primary care",2,,,,,,
720,st mary s university college,history,2,,,,,,
721,st mary s university college,"communication, cultural and media studies, library and information management",2,,,,,,
722,st mary s university college,philosophy,2,,,,,,
723,st mary s university college,theology and religious studies,2,,,,,,
724,st mary s university college,education,2,,,,,,
725,st mary s university college,"sport and exercise sciences, leisure and tourism",2,,,,,,
726,st mary s university college,english language and literature,2,,,,,,
727,st mary s university college belfast,politics and international studies,2,,,,,,
728,staffordshire university,"communication, cultural and media studies, library and information management",2,0,20,20,60,13.5,11.851851851851851
729,staffordshire university,business and management studies,2,0,50,50,0,7.3,34.24657534246575
730,staffordshire university,education,2,0,0,60,40,6.75,23.703703703703702
731,staffordshire university,"psychology, psychiatry and neuroscience",2,40,60,0,0,13.8,24.63768115942029
732,staffordshire university,"sport and exercise sciences, leisure and tourism",2,40,40,20,0,13.4,23.88059701492537
733,staffordshire university,computer science and informatics,2,0,20,80,0,7.8,28.205128205128204
734,staffordshire university,"art and design: history, practice and theory",2,0,60,30,10,9.9,25.252525252525253
735,staffordshire university,general engineering,2,0,40,30,30,8.4,25.0
736,stranmillis university college,education,2,0,40,0,60,5.0,36.0
737,swansea university,general engineering,8,55,45,0,0,74.83,4.744086596284912
738,swansea university,"allied health professions, dentistry, nursing and pharmacy",7,66,34,0,0,44.9,8.151447661469934
739,swansea university,"allied health professions, dentistry, nursing and pharmacy",7,20,80,0,0,14.2,22.535211267605636
740,swansea university,business and management studies,4,60,30,10,0,27.9,12.544802867383513
741,swansea university,"geography, environmental studies and archaeology",4,50,50,0,0,27.7,12.635379061371841
742,swansea university,history,3,36.7,63.3,0,0,20.0,16.835
743,swansea university,physics,3,0,63.3,36.7,0,21.0,12.538095238095236
744,swansea university,law,3,53.3,26.7,20,0,19.5,17.09230769230769
745,swansea university,computer science and informatics,3,60,13.3,13.4,13.3,19.6,16.3265306122449
746,swansea university,english language and literature,3,100,0,0,0,16.53,24.19842710223835
747,swansea university,modern languages and linguistics,2,70,30,0,0,12.0,30.833333333333332
748,swansea university,modern languages and linguistics,2,40,60,0,0,4.2,80.95238095238095
749,swansea university,"psychology, psychiatry and neuroscience",2,100,0,0,0,14.8,27.027027027027025
750,swansea university,"sport and exercise sciences, leisure and tourism",2,70,30,0,0,10.0,37.0
751,swansea university,social work and social policy,2,0,30,50,20,8.4,25.0
752,swansea university,earth systems and environmental sciences,2,40,40,20,0,11.2,28.571428571428573
753,swansea university,politics and international studies,2,40,50,10,0,8.2,40.243902439024396
754,swansea university,mathematical sciences,2,20,30,10,20,14.7,14.285714285714286
755,swansea university prifysgol abertawe,modern languages and linguistics,2,,,,,,
756,teesside university,"allied health professions, dentistry, nursing and pharmacy",3,26.7,73.3,0,0,16.0,20.41875
757,teesside university,history,2,20,80,0,0,11.0,29.09090909090909
758,teesside university,business and management studies,2,10,50,0,0,5.5,34.54545454545455
759,teesside university,social work and social policy,2,40,60,0,0,10.8,31.48148148148148
760,teesside university,computer science and informatics,2,0,0,100,0,12.7,15.748031496062993
761,teesside university,"art and design: history, practice and theory",2,20,50,30,0,11.8,24.576271186440678
762,teesside university,english language and literature,2,0,80,20,0,6.4,43.75
